sample	ali	prev	target	contig	reads
SRR3966130	bowtie2	spades	spades	NODE_29647_length_1094_cov_2.550754	57
SRR3966130	bowtie2	spades	spades	NODE_30189_length_1085_cov_1.456389	31
SRR3966130	bowtie2	spades	spades	NODE_30345_length_1082_cov_1.721261	36
SRR3966130	bowtie2	spades	spades	NODE_30743_length_1076_cov_1.165814	23
SRR3966130	bowtie2	spades	spades	NODE_32066_length_1054_cov_0.984293	19
SRR3966130	bowtie2	spades	spades	NODE_32828_length_1042_cov_1.324496	27
SRR3966130	bowtie2	spades	spades	NODE_32879_length_1041_cov_1.731423	37
SRR3966130	bowtie2	spades	spades	NODE_33308_length_1034_cov_2.460963	52
SRR3966130	bowtie2	spades	spades	NODE_34640_length_1015_cov_1.746725	37
SRR3966130	bowtie2	spades	spades	NODE_34846_length_1012_cov_2.064622	42
