featureid	ERR599164	SRR3963458	SRR3963457	ERR598999	SRR3965758	ERR599124	ERR599004	SRR3968062	ERR599034	ERR599127	ERR599067	ERR599083	SRR3963982	ERR599055	SRR3968061	SRR3962773	ERR599072	SRR3963622	ERR599152	ERR599167	ERR599159	ERR599015	ERR599175	ERR599051	ERR598980	ERR599076	SRR3966130	SRR3960579	ERR599128	ERR598964	ERR599085	ERR599062	SRR3960577	ERR599109	SRR3965873	SRR3963449	SRR3967690	ERR599112	ERR598944	ERR599131	ERR599166	SRR3965874	SRR3968777	ERR599096	ERR598958	SRR3961935	SRR3961906	SRR3963804	SRR3961047	SRR3960575	SRR3965586	ERR599031	ERR599033	ERR599000	ERR599048	ERR598947	SRR3967700	ERR599008	ERR599172	ERR599021	ERR598960	ERR599047	ERR599005	ERR599154	SRR3962680	ERR598971	SRR3967319	ERR599086	ERR599071	ERR598985	SRR3960578	ERR599044	ERR599149	ERR599125	ERR599060	ERR599037	SRR3962293	SRR3965592	ERR599115	ERR599132	ERR599020
Sphingobium indicum	252.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1224.0	0.0	0.0	88.0	0.0	0.0	34.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	175.0	0.0	0.0	0.0	0.0	0.0	117.0	414.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphingomonas sp. IC081	1324.0	82.0	0.0	198.0	118.0	73.0	33.0	0.0	290.0	148.0	34.0	168.0	81.0	0.0	0.0	0.0	561.0	123.0	227.0	0.0	485.0	154.0	64.0	0.0	349.0	165.0	120.0	0.0	24.0	881.0	0.0	0.0	0.0	0.0	113.0	66.0	81.0	22910.0	333.0	0.0	652.0	90.0	0.0	170.0	425.0	0.0	0.0	0.0	0.0	68.0	68.0	0.0	193.0	2706.0	90.0	0.0	0.0	251.0	0.0	840.0	1576.0	392.0	166.0	445.0	0.0	153.0	142.0	149.0	54.0	1083.0	33.0	855.0	193.0	52.0	36.0	0.0	0.0	126.0	1260.0	78.0	213.0
Sphingomonas sp. NBWT7	343.0	0.0	0.0	128.0	0.0	53.0	0.0	0.0	110.0	79.0	0.0	132.0	0.0	0.0	0.0	0.0	185.0	0.0	83.0	0.0	269.0	100.0	0.0	0.0	128.0	129.0	65.0	0.0	0.0	226.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19551.0	116.0	0.0	246.0	0.0	0.0	154.0	160.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	129.0	1345.0	0.0	0.0	0.0	67.0	0.0	239.0	511.0	238.0	103.0	187.0	0.0	50.0	0.0	70.0	0.0	690.0	0.0	761.0	126.0	0.0	0.0	0.0	0.0	0.0	4763.0	0.0	112.0
Sphingomonas sp. FARSPH	152.0	0.0	0.0	155.0	0.0	58.0	0.0	0.0	71.0	77.0	55.0	128.0	0.0	0.0	0.0	0.0	745.0	0.0	93.0	0.0	476.0	92.0	37.0	0.0	205.0	63.0	0.0	0.0	0.0	3527.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	2400.0	977.0	0.0	2483.0	0.0	0.0	149.0	2391.0	78.0	141.0	0.0	54.0	869.0	0.0	0.0	176.0	1172.0	48.0	131.0	0.0	1522.0	0.0	113.0	377.0	3248.0	123.0	180.0	0.0	265.0	0.0	273.0	40.0	4117.0	0.0	332.0	42.0	364.0	0.0	0.0	0.0	0.0	762.0	29.0	640.0
Sphingomonas sanxanigenens	359.0	0.0	55.0	916.0	647.0	813.0	82.0	25.0	133.0	175.0	659.0	992.0	70.0	234.0	0.0	153.0	1910.0	86.0	158.0	335.0	5216.0	170.0	94.0	81.0	614.0	178.0	615.0	176.0	417.0	2286.0	98.0	1000.0	114.0	229.0	595.0	186.0	172.0	3630.0	1055.0	129.0	1855.0	338.0	0.0	904.0	824.0	130.0	189.0	0.0	231.0	261.0	95.0	203.0	911.0	4851.0	136.0	359.0	59.0	374.0	100.0	211.0	758.0	1281.0	196.0	753.0	135.0	3225.0	174.0	747.0	504.0	3263.0	368.0	438.0	115.0	116.0	80.0	231.0	118.0	324.0	1701.0	1129.0	829.0
Rhizorhabdus dicambivorans	1083.0	288.0	315.0	2736.0	263.0	1781.0	408.0	0.0	0.0	1226.0	1094.0	2999.0	374.0	294.0	0.0	474.0	4551.0	0.0	1065.0	0.0	11767.0	1119.0	445.0	456.0	2101.0	1102.0	300.0	0.0	666.0	5450.0	203.0	0.0	0.0	0.0	224.0	0.0	0.0	54180.0	3350.0	0.0	6489.0	192.0	0.0	2623.0	2666.0	0.0	0.0	0.0	393.0	560.0	269.0	0.0	2687.0	16036.0	0.0	0.0	0.0	1187.0	0.0	661.0	1670.0	4660.0	251.0	2744.0	0.0	5279.0	163.0	1879.0	1010.0	8409.0	0.0	1350.0	0.0	331.0	346.0	0.0	393.0	0.0	4128.0	1737.0	2071.0
Tardibacter chloracetimidivorans	423.0	0.0	0.0	0.0	157.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	99.0	0.0	171.0	0.0	0.0	141.0	0.0	0.0	0.0	0.0	114.0	0.0	130.0	2103.0	0.0	0.0	61.0	113.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	444.0	0.0	0.0	0.0	0.0	0.0	224.0	311.0	64.0	0.0	0.0	0.0	0.0	114.0	0.0	0.0	197.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	1072.0	0.0	0.0
Croceicoccus marinus	9194.0	140.0	120.0	3461.0	270.0	900.0	92.0	56.0	6558.0	175.0	984.0	3384.0	133.0	316.0	0.0	489.0	2685.0	62.0	179.0	732.0	5791.0	155.0	94.0	106.0	1219.0	195.0	230.0	130.0	701.0	7297.0	157.0	4358.0	116.0	339.0	266.0	365.0	68.0	93334.0	6336.0	90.0	5250.0	218.0	0.0	3362.0	2296.0	198.0	213.0	25.0	163.0	397.0	991.0	785.0	3242.0	3013.0	119.0	442.0	0.0	408.0	338.0	5378.0	40768.0	4031.0	248.0	501.0	135.0	5113.0	193.0	1508.0	736.0	5169.0	324.0	569.0	89.0	87.0	107.0	843.0	397.0	259.0	1098.0	1879.0	1187.0
Croceicoccus naphthovorans	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	24.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	85.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.0	0.0	0.0
Porphyrobacter sp. YT40	3188.0	342.0	190.0	2937.0	636.0	1054.0	292.0	275.0	1833.0	645.0	781.0	3039.0	337.0	214.0	104.0	724.0	4600.0	93.0	708.0	699.0	6846.0	703.0	290.0	287.0	2873.0	678.0	527.0	325.0	493.0	6607.0	258.0	2068.0	161.0	284.0	474.0	229.0	584.0	30366.0	5692.0	149.0	5915.0	412.0	0.0	2975.0	3109.0	422.0	340.0	90.0	801.0	1515.0	505.0	350.0	2932.0	6710.0	483.0	779.0	100.0	1956.0	323.0	1952.0	10767.0	4095.0	927.0	1173.0	146.0	3778.0	757.0	1856.0	1099.0	5026.0	594.0	2372.0	406.0	512.0	252.0	709.0	685.0	447.0	6040.0	1430.0	1588.0
